發生時間,發生地點,死亡受傷人數,車種,經度,緯度
110年01月21日 23時56分00秒,臺東縣大武鄉台9線 408公里700.0公尺處北側向外側,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.938144,22.440477
110年01月22日 00時54分23秒,臺南市仁德區後壁里中正路二段附近 / 臺南市仁德區後壁里德洋路附近,死亡1;受傷1,普通重型-機車;行人-人,120.251436,22.950224
110年01月22日 04時51分00秒,基隆市安樂區安樂路二段145號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,121.724197,25.121314
110年01月22日 05時08分00秒,臺北市大安區仁愛路4段 / 臺北市大安區復興南路1段,死亡1;受傷0,普通重型-機車;計程車-小客車,121.543741,25.038088
110年01月22日 11時02分00秒,高雄市左營區大中二路 / 高雄市左營區博愛三路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.310175,22.681073
110年01月22日 19時09分00秒,苗栗縣苗栗市上苗里為公路口 / 苗栗縣苗栗市上苗里中正路口,死亡1;受傷0,行人-人;民營公車-大客車,120.824529,24.569970
110年01月23日 00時16分00秒,屏東縣里港鄉載興村載南路40號前0.0公尺,死亡1;受傷0,自用-小客車;營業用-曳引車,120.529878,22.779269
110年01月23日 01時58分00秒,臺南市新化區台20線 17.1公里,死亡1;受傷0,普通重型-機車,120.342676,23.066532
110年01月23日 06時00分00秒,新北市鶯歌區新北市鶯歌區環河路32號,死亡2;受傷0,普通重型-機車;乘客-人,121.351623,24.944680
110年01月23日 06時12分00秒,屏東縣屏東市潭墘里環河路前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車,120.446722,22.664956
110年01月23日 08時36分00秒,桃園市楊梅區國道1號 68公里900.0公尺處南側向外側,死亡1;受傷3,營業用-半聯結車;自用-小客車;乘客-人;乘客-人;乘客-人,121.126577,24.893840
110年01月23日 15時15分00秒,新北市淡水區新北市淡水區中正東路2段115號,死亡1;受傷1,普通重型-機車;乘客-人,121.459521,25.150497
110年01月23日 16時18分00秒,屏東縣內埔鄉豐田村建國路26號前0.0公尺附近,死亡1;受傷0,普通重型-機車,120.545835,22.643792
110年01月23日 17時01分00秒,臺南市柳營區台1線 294公里200.0公尺處北側向機、慢車道,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.325274,23.275668
110年01月23日 17時45分00秒,桃園市平鎮區快速路一段大溪往觀音編號P239橋墩旁,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,121.229597,24.908701
110年01月23日 19時55分47秒,新竹縣關西鎮新力里竹21線1.5K處,死亡1;受傷0,普通重型-機車,121.132915,24.798812
110年01月24日 02時53分56秒,苗栗縣公館鄉五谷村台6線與苗26線口,死亡1;受傷0,自用-小客車;普通重型-機車,120.818764,24.528990
110年01月24日 07時00分00秒,屏東縣屏東市棒球路口 / 屏東縣屏東市復興路.口,死亡1;受傷1,普通重型-機車;自用-小客車,120.486907,22.657715
110年01月24日 20時08分00秒,高雄市楠梓區右昌街110號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.290696,22.709985
110年01月25日 02時56分00秒,新北市泰山區新北市泰山區泰林路1段15號,死亡1;受傷1,普通重型-機車;拼裝車-其他車,121.440067,25.049859
110年01月25日 07時53分00秒,新北市蘆洲區新北市蘆洲區2號越堤道與2號越堤道,死亡1;受傷1,普通重型-機車;普通重型-機車,121.473062,25.079465
110年01月25日 15時08分15秒,苗栗縣三灣鄉台三線103.6公里處,死亡1;受傷0,自用-小客車;普通重型-機車,120.955819,24.614288
110年01月26日 06時46分00秒,臺中市西屯區西平北巷林厝公園入口處(西平北巷R17燈桿附近),死亡1;受傷0,普通重型-機車,120.623920,24.205091
110年01月26日 07時40分00秒,新北市淡水區新北市淡水區淡金路2段與北新路,死亡1;受傷0,普通重型-機車;營業用-曳引車;自用-小客車,121.446047,25.193459
